"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"BRM00082900","RECIFE, BR","1982-11-11","0.03","81","86","72"
"BRM00082900","RECIFE, BR","1982-11-20","0.01","81","86","69"
"BRM00082900","RECIFE, BR","1982-11-29","0.08","81","86","77"
"BRM00082900","RECIFE, BR","1982-12-01","0.16","81","86","69"
"BRM00082900","RECIFE, BR","1982-12-02","0.00","82","85","74"
"BRM00082900","RECIFE, BR","1982-12-13","0.12","80",,"69"
"BRM00082900","RECIFE, BR","1982-12-26",,"82","87","71"
"BRM00082900","RECIFE, BR","1983-02-08","0.83","80","84","74"
"BRM00082900","RECIFE, BR","1983-02-09","0.00","82","85","75"
"BRM00082900","RECIFE, BR","1983-02-24","0.08","82","86","76"
"BRM00082900","RECIFE, BR","1983-02-28","0.00","84","88","75"
"BRM00082900","RECIFE, BR","1983-04-02","0.16","83","87","73"
"BRM00082900","RECIFE, BR","1983-04-07","0.31","79","87","73"
"BRM00082900","RECIFE, BR","1983-10-16",,"82",,"74"
"BRM00082900","RECIFE, BR","1984-03-07","0.59","84","89","75"
"BRM00082900","RECIFE, BR","1984-03-15","0.08","82","88","73"
"BRM00082900","RECIFE, BR","1984-05-17","2.44","80","85","73"
"BRM00082900","RECIFE, BR","1984-05-24","1.97","78","83","73"
"BRM00082900","RECIFE, BR","1984-05-29","0.00","80","85","71"
"BRM00082900","RECIFE, BR","1984-05-30","0.20","81","85","72"
"BRM00082900","RECIFE, BR","1984-06-15","0.63","77","84","72"
"BRM00082900","RECIFE, BR","1984-08-04","0.08","80","83","72"
"BRM00082900","RECIFE, BR","1984-09-12",,"80","83","71"
"BRM00082900","RECIFE, BR","1984-09-27",,"81","84",
"BRM00082900","RECIFE, BR","1984-10-27",,"82","85","76"
"BRM00082900","RECIFE, BR","1984-11-08","0.01","82","85","72"
"BRM00082900","RECIFE, BR","1985-03-18","0.04","83","86",
"BRM00082900","RECIFE, BR","1985-03-22","0.04","79","86","71"
"BRM00082900","RECIFE, BR","1985-11-04","0.00","82","85","72"
"BRM00082900","RECIFE, BR","1986-01-30",,"84","87","75"
